task_id,experiment_layer,protocol_version,suite,scenario,comparison_group,comparison_method,algorithm,repeat,seed,search_budget_id,objective_semantics_version,instance_count,feasible_instances,feasible_rate,mean_candidate_count,mean_evaluations,mean_constraint_rejection_rate,mean_nonconvergence_rate,mean_archive_size,mean_hypervolume,avg_estimated_delay_ms,avg_operational_stability_score,avg_total_energy,search_runtime_ms
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r3:s20260722,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,3,20260722,p12_g4_a64,stability_delay_energy_v4,30,24,0.8,3.566666666666667,29.1,0.7159728661874392,0.0,3.566666666666667,0.2780032832319291,665.4880730755985,0.863379249248425,11448.852876857576,1379.0692089824006
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r4:s20260723,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,4,20260723,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,3.4,29.9,0.7101350929710819,0.0,3.4,0.2606279656205349,701.9184774551495,0.8567330837366032,11991.605127510782,1442.3550829524174
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r5:s20260724,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,5,20260724,p12_g4_a64,stability_delay_energy_v4,30,24,0.8,3.3,27.4,0.7397791548093615,0.0,3.3,0.2856459903062602,670.4886816322133,0.8583464623660326,12029.648077861284,1367.0825791778043
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r6:s20260725,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,6,20260725,p12_g4_a64,stability_delay_energy_v4,30,26,0.8666666666666667,3.3333333333333335,28.266666666666666,0.7120456445826165,0.0,3.3333333333333335,0.26109866967380496,689.6721286595516,0.8592518825050254,12924.14134013388,1456.287332228385
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r7:s20260726,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,7,20260726,p12_g4_a64,stability_delay_energy_v4,30,21,0.7,2.2333333333333334,28.333333333333332,0.7863658491093279,0.0,2.2333333333333334,0.19308123090503526,768.5987859916893,0.8560090315506372,13390.443880151412,1547.8387073380873
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r8:s20260727,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,8,20260727,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,3.3666666666666667,28.366666666666667,0.692910167069451,0.0,3.3666666666666667,0.27991752183354546,690.3354168524015,0.8626272020916581,12632.495300744706,1476.2232508510351
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r9:s20260728,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,9,20260728,p12_g4_a64,stability_delay_energy_v4,30,26,0.8666666666666667,3.2333333333333334,29.366666666666667,0.7278584769801087,0.0,3.2333333333333334,0.27105804964039737,690.0766653150923,0.8688599202978664,11580.39460497448,1406.921453308314
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r10:s20260729,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,10,20260729,p12_g4_a64,stability_delay_energy_v4,30,28,0.9333333333333333,3.2333333333333334,28.666666666666668,0.7569410531200838,0.0,3.2333333333333334,0.2834827385472675,694.0886956514162,0.8571568815767214,12165.230804252371,1496.160748647526
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r11:s20260730,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,11,20260730,p12_g4_a64,stability_delay_energy_v4,30,26,0.8666666666666667,3.6,27.9,0.7081441960166664,0.0,3.6,0.29708249873235515,710.1031763021135,0.8547645414538318,12319.705880498019,1376.8901280127466
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r12:s20260731,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,12,20260731,p12_g4_a64,stability_delay_energy_v4,30,22,0.7333333333333333,3.066666666666667,28.566666666666666,0.749613682008259,0.0,3.066666666666667,0.21335756107336987,680.9800564198144,0.8597222923341111,12377.830035799661,1510.0201667519286
