task_id,suite,scenario,algorithm,repeat,seed,scenario_parameters,avg_estimated_delay,avg_dynamic_operation_reliability,avg_dynamic_accuracy_reliability,avg_total_energy,rejected_or_failed_count,runtime_ms
ablation:wo_block_crossover:a10b40bd0d:customized:repeat_0:seed_20260719,ablation,wo_block_crossover,customized,0,20260719,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_block_crossover"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": false, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",577.6989301483568,0.15580662506172327,0.7919993090428433,6456.764431321262,1,103774
ablation:wo_block_crossover:a10b40bd0d:customized:repeat_1:seed_20260720,ablation,wo_block_crossover,customized,1,20260720,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_block_crossover"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": false, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",527.8076783634245,0.1387233709946046,0.7302690058055014,6010.674886591853,0,106057
ablation:wo_block_crossover:a10b40bd0d:customized:repeat_2:seed_20260721,ablation,wo_block_crossover,customized,2,20260721,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_block_crossover"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": false, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",472.07250564428654,0.14083682135588843,0.7240727785843634,6274.414922780029,0,105044
ablation:wo_block_crossover:a10b40bd0d:customized:repeat_3:seed_20260722,ablation,wo_block_crossover,customized,3,20260722,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_block_crossover"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": false, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",552.116459050592,0.13878127879503044,0.7674078252622664,6702.164516518795,0,108583
ablation:wo_block_crossover:a10b40bd0d:customized:repeat_4:seed_20260723,ablation,wo_block_crossover,customized,4,20260723,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_block_crossover"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": false, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",532.8023447815809,0.187082275471301,0.7887095574527403,5959.680633366651,0,105390
ablation:wo_block_crossover:a10b40bd0d:customized:repeat_5:seed_20260724,ablation,wo_block_crossover,customized,5,20260724,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_block_crossover"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": false, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",580.9004720964007,0.15729560880623566,0.7670883489294019,5764.861427111209,1,103367
ablation:wo_block_crossover:a10b40bd0d:customized:repeat_6:seed_20260725,ablation,wo_block_crossover,customized,6,20260725,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_block_crossover"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": false, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",542.0518327701549,0.18201147080557853,0.7652709237208818,6345.047857429532,0,108353
ablation:wo_block_crossover:a10b40bd0d:customized:repeat_7:seed_20260726,ablation,wo_block_crossover,customized,7,20260726,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_block_crossover"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": false, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",510.9951836247178,0.13136642181668448,0.7318622365641568,6886.287723981552,2,107919
ablation:wo_block_crossover:a10b40bd0d:customized:repeat_8:seed_20260727,ablation,wo_block_crossover,customized,8,20260727,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_block_crossover"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": false, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",542.8096468545292,0.14250226859991924,0.7382853771492702,6320.058405587023,0,110140
ablation:wo_block_crossover:a10b40bd0d:customized:repeat_9:seed_20260728,ablation,wo_block_crossover,customized,9,20260728,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_block_crossover"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": false, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",502.85813565858075,0.14528207760563294,0.7305309876119329,6477.79840504773,0,105318
ablation:wo_skew_mutation:873a06d904:customized:repeat_0:seed_20260719,ablation,wo_skew_mutation,customized,0,20260719,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_skew_mutation"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": false, ""user_count"": null}",585.964163173457,0.1430501070355369,0.7960092059937306,6376.241740619677,1,102883
ablation:wo_skew_mutation:873a06d904:customized:repeat_1:seed_20260720,ablation,wo_skew_mutation,customized,1,20260720,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""wo_skew_mutation"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""ablation"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": false, ""user_count"": null}",528.3666010479543,0.14182609868610235,0.7281330712080101,6590.444072917566,0,109194
